plant,date,work_center,,machine,order,grade,emp,shift,qty,scrap,setup_plan,machine_plan,machine_actual,labor_plan
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,50249,115146897,KC410M,21250,2,,,X,,,
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,50249,115146897,KC410M,21250,3,1,2,1.66,0.05,1.75,1.75
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,50249,115146897,KC410M,21299,2,,,X,,,
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,50249,115146897,KC410M,21299,3,8,6,1.66,0.23,0.10,0.10
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,50249,115195658,KC410M,21250,1,26,10,1.66,0.56,6.08,5.75
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,51876,115045300,KC5410,62746,3,217,1,0.50,3.62,0.10,0.10
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,51876,115166913,K68,20739,3,175,1,0.50,2.92,3.83,1.23
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,51876,115166913,K68,21299,3,300,,0.50,4.98,8.10,7.77
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,51877,115179121,K10U,62746,3,213,3,0.66,3.59,0.20,0.20
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,51877,115179146,KCU10,20739,2,,,X,,,
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,51877,115179146,KCU10,20739,3,290,1,0.66,4.83,5.28,1.72
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,51877,115179146,KCU10,21191,2,,,X,,,
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,51877,115179146,KCU10,21191,3,340,,0.66,5.64,5.27,1.75
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,51878,115178117,KC5010,20739,3,290,5,1.00,6.05,7.53,2.85
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,51878,115178117,KC5010,21191,3,335,,1.00,6.87,5.27,1.75
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,51878,115178117,KC5010,62746,3,53,1,1.00,1.11,1.22,1.22
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,51878,115178240,KC730,62746,3,167,2,1.00,3.47,6.62,6.28
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,52485,115030239,KCPK30,21191,1,,,X,,,
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,52485,115030239,KCPK30,21191,2,117,,1.00,2.39,5.28,1.77
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,52485,115030239,KCPK30,21191,3,,,X,,,
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,52485,115163031,WDN10U,20739,1,44,,1.00,0.90,4.07,1.68
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,52485,115163031,WDN10U,62746,1,147,,1.00,3.00,0.03,0.03
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,53627,115162578,KC725M,21250,1,250,,1.00,5.10,0.03,0.03
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,53627,115162578,KC725M,21250,2,,,X,,,
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,53627,115162578,KC725M,21250,3,,,X,,,
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,53627,115162578,KC725M,21304,1,230,,1.00,4.69,0.03,0.03
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,53627,115162578,KC725M,21304,2,,,X,,,
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,53627,115162578,KC725M,21304,3,,,X,,,
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,53627,115162578,KC725M,63074,1,220,,1.00,4.49,0.03,0.03
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,53627,115162578,KC725M,63074,2,,,X,,,
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,53627,115162578,KC725M,63074,3,,,X,,,
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,53628,115125776,KC725M,21250,3,290,,0.66,5.74,0.45,0.45
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,53628,115125776,KC725M,21304,3,29,1,0.66,0.59,0.92,0.92
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,53628,115125776,KC725M,63074,3,264,,0.66,5.23,7.92,7.58
OR01,04.01.2016,PRCWNDT,WENDT ALPHA/SCALER,53628,115125802,KC725M,21304,3,300,,0.66,5.94,8.03,7.70
OR01,04.01.2016,PRS3R,3R PRESS OSTERWALDER,32108,115199250,KCP25B,21161,1,182,6,0.50,0.38,1.82,1.82
OR01,04.01.2016,PRS3R,3R PRESS OSTERWALDER,32108,115199250,KCP25B,21227,1,188,8,0.50,0.39,2.38,2.38
OR01,04.01.2016,PRS3R,3R PRESS OSTERWALDER,32108,115199251,KCM25,63858,2,340,25,0.42,0.69,3.48,3.48
OR01,04.01.2016,PRS3R,3R PRESS OSTERWALDER,32108,115199252,KCM15,21161,1,340,12,0.42,0.67,2.30,2.30
