Plant,Posting Date,Work Center,,Machine Number,Grade,Material,,MFG Part Number,Order,Employee Number,Shifts,Order Count,"Operation 
Count","Confirmed
Qty","Scrap
Actual","Setup 
Plan","Machining
Plan","Machining
Actual","Labor 
Plan","Labor
Actual","Activity 4
Actual","Activity 4
Plan","Activity 5
Actual","Activity 5
Plan","Activity 6
Actual","Activity 6
Plan"
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,28045,KCM25,3744927,SCREW ON MP MEDIUM POSITIVE INSERT,#,115654136,63858,3,1,1,"1,128",24,0.5,2.3,5,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,28045,KCP10,3744949,SCREW ON MP MEDIUM POSITIVE INSERT,#,115654135,20986,1,1,1,164,6,0.5,0.34,3.01,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,28045,KCP10,3744949,SCREW ON MP MEDIUM POSITIVE INSERT,#,115654135,63858,1,1,1,186,12,0.5,0.4,0.9,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,28045,KCP10,3749447,SCREW ON MF MEDIUM FINISHING INSERT,#,115654103,20986,2,1,1,752,11,0.42,1.45,4.79,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,28045,KCP10,3749447,SCREW ON MF MEDIUM FINISHING INSERT,#,115654103,21227,2,1,1,376,9,0.42,0.73,1.23,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,32108,KCM25,3769243,SCREW ON FP LIGHT FINISHING INSERT,#,115657916,20986,2,1,1,340,9,0.5,0.8,2.34,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,32108,KCP25,3769153,SCREW ON FP LIGHT FINISHING INSERT,#,115649702,63858,3,1,1,340,17,0.5,0.82,1.57,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,32108,TN20P,4166393,POSITIVE INSERT,#,115641684,63858,3,1,1,300,20,0.5,0.74,1.25,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,32108,WK20CT,4170095,POSITIVE INSERT GEO FP,#,115649703,20986,1,1,1,566,19,0.5,1.35,3.31,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,32108,WK20CT,4170095,POSITIVE INSERT GEO FP,#,115649703,63858,1,1,1,,,0.5,,,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,32108,WK20CT,4170102,POSITIVE INSERT GEO FP,#,115649715,20986,2,1,1,,,0.5,,,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,32108,WK20CT,4170102,POSITIVE INSERT GEO FP,#,115649715,21227,2,1,1,300,21,0.5,0.74,2.52,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,43101,KCP25,4033299,UP ROUGHING HEAVY DUTY SCREW ON,#,115649674,20986,1,1,1,455,33,0.5,1.37,4.15,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,43101,KCP25,4033299,UP ROUGHING HEAVY DUTY SCREW ON,#,115649674,63858,1,1,1,,,0.5,,0.01,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,43101,KCP25,4033299,UP ROUGHING HEAVY DUTY SCREW ON,#,115649675,20986,2,1,1,480,32,0.5,1.43,3.44,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,43101,KCP25,4033299,UP ROUGHING HEAVY DUTY SCREW ON,#,115649676,21227,2,1,1,480,11,0.5,1.38,3.4,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,43101,WM25CT,4169452,NEGATIVE INSERT GEO UR,#,115649627,21227,3,1,1,,,0.5,,,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,47191,K313,2229660,KENLOC MS MEDIUM  SHARP INSERT,#,115641650,63928,2,1,1,264,2,0.5,0.61,0.94,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,47191,KC5010,2229661,KENLOC MS MEDIUM  SHARP INSERT,#,115654110,61301,2,1,1,"1,056",16,0.5,2.47,3.78,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,47191,KC5025,2229662,KENLOC MS MEDIUM  SHARP INSERT,#,115654109,61301,1,1,1,640,14,0.5,1.5,2.46,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,47191,KCP25,3751658,KENLOC RP ROUGHING POSITIVE INSERT,#,115637736,64891,3,1,1,460,8,0.5,0.89,3.38,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,47191,KCU10,5090688,KENLOC MS MEDIUM  SHARP INSERT,#,115654108,63928,3,1,1,849,8,0.5,1.97,3.3,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,47191,KCU25,4050480,KENLOC MS MEDIUM  SHARP INSERT,#,115654107,61301,1,1,1,560,7,0.5,1.3,1.72,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,50591,KC725M,2271119,18MM ENDMILL INSERT .03 (0.8MM) RAD,#,115649667,64891,3,1,1,640,19,0.5,1.85,1.88,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,50591,KC725M,2271119,18MM ENDMILL INSERT .03 (0.8MM) RAD,#,115649668,64891,3,1,1,640,48,0.5,1.93,2.78,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,50591,WP25PM,5415319,VSM11 MILLING INSERT R=0.8 MM,#,115654169,21361,1,1,1,,,0.5,,,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,50591,WP25PM,5415319,VSM11 MILLING INSERT R=0.8 MM,#,115654169,64891,1,1,1,230,10,0.5,0.67,0.53,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,50591,WP25PM,5415319,VSM11 MILLING INSERT R=0.8 MM,#,115654170,21361,1,1,1,640,17,0.5,1.84,3.01,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,50591,WP25PM,5415319,VSM11 MILLING INSERT R=0.8 MM,#,115654171,21361,1,1,1,640,20,0.5,1.85,1.57,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,50591,WP25PM,5415319,VSM11 MILLING INSERT R=0.8 MM,#,115654172,21361,2,1,1,640,22,0.5,1.85,1.75,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,50591,WP25PM,5415319,VSM11 MILLING INSERT R=0.8 MM,#,115654173,21361,2,1,1,640,19,0.5,1.85,1.86,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,50591,WP25PM,5415319,VSM11 MILLING INSERT R=0.8 MM,#,115654174,21361,2,1,1,350,3,0.5,0.99,0.45,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,50591,WP25PM,5415319,VSM11 MILLING INSERT R=0.8 MM,#,115654174,63508,2,1,1,290,5,0.5,0.83,0.02,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,50591,WP25PM,5415319,VSM11 MILLING INSERT R=0.8 MM,#,115658068,63508,2,1,1,640,8,0.5,1.81,2.31,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,50591,WP40PM,5545063,VSM11 MILLING INSER,#,115657964,63508,3,1,1,,,0.5,,,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,50592,KC5010,2244896,KENLOC MS MEDIUM SHARP INSERT,#,115654140,21269,1,1,1,770,10,0.5,1.79,3.83,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,50592,KC5025,2244932,KENLOC MS MEDIUM SHARP INSERT,#,115654139,64863,3,1,1,960,9,0.5,2.23,3.42,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,50592,KCP10,3749416,SCREW ON LF LIGHT FINISHING INSERT,#,115654164,63877,3,1,1,,,0.42,,,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,50592,KCP10B,6128081,INSERT KENLOC RP ROUGHING POSITIVE,#,115653011,21269,2,1,1,,,0.5,,,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,50592,KCP10B,6128081,INSERT KENLOC RP ROUGHING POSITIVE,#,115653011,63877,2,1,1,270,3,0.5,0.55,2.01,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,50592,KCU10,5090760,KENLOC MS MEDIUM SHARP INSERT,#,115654138,21269,1,1,1,450,8,0.5,1.05,1.9,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,50592,KCU10,5090760,KENLOC MS MEDIUM SHARP INSERT,#,115654138,64863,1,1,1,470,7,0.5,1.1,1.52,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,50592,KCU25,4121683,KENLOC MS MEDIUM SHARP INSERT,#,115654137,64863,3,1,1,680,21,0.5,1.61,2.22,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,50593,KCP10B,5413176,KENLOC RP ROUGHING POSITIVE INSERT,#,115654081,61301,1,1,1,"1,140",14,0.5,2.19,3.77,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,50593,KCP10B,5697969,KENLOC CT PROFILING GEOMETRY,#,115654114,61301,2,1,1,720,15,0.42,1.4,0.52,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,50593,KCP10B,5697969,KENLOC CT PROFILING GEOMETRY,#,115654115,63928,2,1,1,707,7,0.42,1.36,2.73,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,50593,KCP10B,5697969,KENLOC CT PROFILING GEOMETRY,#,115657840,63928,3,1,1,,,0.42,,,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,50593,KCP25,3751646,KENLOC RP ROUGHING POSITIVE INSERT,#,115654082,64863,3,1,1,"1,140",10,0.5,2.19,3.79,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,50593,KCP25B,5413177,KENLOC RP ROUGHING POSITIVE INSERT,#,115654080,61301,1,1,1,390,6,0.5,0.75,1.34,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,50593,KCP25B,5413177,KENLOC RP ROUGHING POSITIVE INSERT,#,115654080,64863,1,1,1,750,7,0.5,1.44,2.61,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,50696,KC5010,2244910,KENLOC MS MEDIUM SHARP INSERT,#,115649738,63508,3,1,1,,,0.5,,1.3,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,50696,KCK20,3753910,KENLOC RP ROUGHING POSITIVE INSERT,#,115649746,64891,3,1,1,"1,040",22,0.5,2.02,3.68,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,50696,WP25CT,4170501,NEGATIVE INSERT GEO UR,#,115654077,21361,1,1,1,200,7,0.5,0.48,0.68,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,50696,WP25CT,4170501,NEGATIVE INSERT GEO UR,#,115654077,64891,1,1,1,950,17,0.5,2.22,3.03,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,50696,WP25CT,4170501,NEGATIVE INSERT GEO UR,#,115654078,21361,2,1,1,"1,150",18,0.5,2.69,7.38,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,52411,CG55,2821023,SCREW ON LF LIGHT FINISHING INSERT,#,115654165,63877,2,1,1,308,33,0.5,0.68,0.82,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,52411,KC5010,1871040,SCREW ON LF LIGHT FINISHING INSERT,#,115654166,63877,3,1,1,350,4,0.5,0.71,1.03,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,52411,KC730,1161917,SCREW ON LF LIGHT FINISHING INSERT,#,115654100,21361,1,1,1,620,15,0.5,1.27,1.99,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,52411,KC730,1161917,SCREW ON LF LIGHT FINISHING INSERT,#,115654100,65083,1,1,1,,,0.5,,,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,52411,KT315,1870328,SCREW ON LF LIGHT FINISHING INSERT,#,115654099,65083,3,1,1,300,17,0.5,0.63,0.7,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,52411,TN10P,4166643,POSITIVE INSERT,#,115654106,65083,3,1,1,"1,140",21,0.5,2.67,2.65,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,52411,TN30M,4166647,POSITIVE INSERT,#,115654105,65083,3,1,1,300,11,0.5,0.72,0.84,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,52412,KCU10,3769291,SCREW ON FP LIGHT FINISHING INSERT,#,115654061,21269,1,1,1,725,15,0.5,1.48,1.89,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,52412,KCU10,3769291,SCREW ON FP LIGHT FINISHING INSERT,#,115654061,65083,1,1,1,425,25,0.5,0.9,0.96,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,52412,KCU25,3769414,SCREW ON FP LIGHT FINISHING INSERT,#,115654060,65083,3,1,1,"1,140",20,0.5,2.32,2.54,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,52412,KCU25,3769436,SCREW ON FP LIGHT FINISHING INSERT,#,115649653,65083,3,1,1,570,13,0.5,1.17,1.46,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,52412,KTP10,3769050,SCREW ON FP LIGHT FINISHING INSERT,#,115654062,21269,1,1,1,820,20,0.5,1.68,0.84,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,52412,KTP10,3769052,SCREW ON FP LIGHT FINISHING INSERT,#,115654064,65083,3,1,1,300,13,0.5,0.63,0.73,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,52412,KTP10,3769057,SCREW ON FP LIGHT FINISHING INSERT,#,115649951,63877,3,1,1,290,35,0.5,0.65,3.72,,,,,,,,
OR01,08.06.2016,PRS3R,3R PRESS OSTERWALDER,#,WP25PM,5415319,VSM11 MILLING INSERT R=0.8 MM,#,115654169,#,1,1,1,,640,0.5,1.79,1.61,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,28045,K313,2622348,MISC KNDX INSRTS,#,115656831,21161,3,1,1,408,18,0.5,1.02,1.82,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,28045,K313,2622348,MISC KNDX INSRTS,#,115656831,21227,3,1,1,,,0.5,,1.05,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,28045,KCK20,3755536,SCREW ON MF MEDIUM FINISHING INSERT,#,115654101,21227,3,1,1,616,135,0.42,1.43,3.8,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,28045,KCM25B,5591169,SCREW ON MF MEDIUM FINISHING INSERT,#,115654102,21161,1,1,1,564,15,0.42,1.1,2.23,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,28045,KCM25B,5591169,SCREW ON MF MEDIUM FINISHING INSERT,#,115654102,21227,1,1,1,,,0.42,,,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,28045,KCPK30,2210024,KENDEX SCREW-ON INS(EXC:SP TP CPGM),#,115654104,21161,1,1,1,330,14,0.5,0.59,1.58,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,32108,KC510M,3753417,MILL 1-10 INSERT R=0.8,#,115657844,21161,2,1,1,720,19,0.5,2.07,2.9,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,32108,KC725M,2271087,18MM ENDMILL INSERT .015 0.4MM RAD,#,115654125,21227,1,1,1,,,0.5,,,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,32108,KC725M,2271087,18MM ENDMILL INSERT .015 0.4MM RAD,#,115654125,21227,3,1,1,,,X,,,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,32108,KCPK30,3649192,MILL 1-10 INSERT R=0.8,#,115649654,21227,3,1,1,680,15,0.5,1.95,3.87,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,32108,KCPK30,3649192,MILL 1-10 INSERT R=0.8,#,115649655,21161,1,1,1,610,10,0.5,1.74,3.29,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,32108,KCPK30,3649192,MILL 1-10 INSERT R=0.8,#,115649655,21227,1,1,1,70,5,0.5,0.21,0.17,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,32108,KCSM30,5520685,MILL 1-10 INSERT R=0.8,#,115657845,21161,2,1,1,450,16,0.5,1.31,2.65,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,32108,KCSM30,5520685,MILL 1-10 INSERT R=0.8,#,115657845,21227,2,1,1,270,5,0.5,0.77,1.35,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,43101,KC5010,2650709,INS. KENLOC MP MEDIUM POSITIVE,#,115652813,21227,2,1,1,31,7,0.5,0.09,0.85,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,43101,KCM25B,5699576,KENLOC MR MEDIUM ROUGHING INSERT,#,115592609,21161,1,1,1,300,19,0.42,0.61,2.02,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,43101,KCP25B,5425545,KENLOC RN ROUGHING NEGATIVE INSERT,#,115649622,21161,2,1,1,570,13,0.5,1.28,2.33,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,43101,KCP25B,5425545,KENLOC RN ROUGHING NEGATIVE INSERT,#,115649623,21161,2,1,1,345,6,0.5,0.77,1.49,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,43101,KCP25B,5425545,KENLOC RN ROUGHING NEGATIVE INSERT,#,115649623,21227,2,1,1,225,5,0.5,0.51,0.69,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,43101,KCPK05,5512462,KENLOC RN ROUGHING NEGATIVE INSERT,#,115649621,21161,1,1,1,300,12,0.5,0.59,1.69,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,43101,WM25CT,4169452,NEGATIVE INSERT GEO UR,#,115649627,21227,3,1,1,510,14,0.5,1.26,3.2,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,43101,WM25CT,4169452,NEGATIVE INSERT GEO UR,#,115649628,21227,3,1,1,300,10,0.5,0.74,1.98,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,43101,WP35CT,4171729,NEGATIVE INSERT GEO RH,#,115657946,21227,3,1,1,,,0.5,,,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,47191,KC5010,1865870,K LOCK INSERT,#,115657902,21044,2,1,1,160,10,0.5,0.48,1.7,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,47191,KC5010,1865870,K LOCK INSERT,#,115657902,63928,2,1,1,160,2,0.5,0.45,0.84,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,47191,KC5010,1865870,K LOCK INSERT,#,115657903,63928,3,1,1,,,0.5,,0.89,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,47191,KC5010,2429851,KENLOC CT PROFILING GEOMETRY,#,115649610,63928,3,1,1,685,23,0.5,1.63,3.02,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,47191,KC850,1161284,KENLOC CHIP CONTROL INSERT,#,115645123,63928,3,1,1,280,8,0.5,0.35,1.01,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,50591,KC725M,2460124,18MM MILL 1 INSERT 1.2MM RAD TLAND + HON,#,115657853,21044,2,1,1,640,14,0.5,1.83,2.41,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,50591,KC725M,2460124,18MM MILL 1 INSERT 1.2MM RAD TLAND + HON,#,115657854,63508,2,1,1,640,8,0.5,1.81,1.16,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,50591,KCK15,2460185,18MM MILL 1 INSERT 1.2MM RAD TLAND + HON,#,115657852,63508,3,1,1,,,0.5,,,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,50591,KCPK30,2654237,CIP INSERT,#,115649478,21044,2,1,1,570,17,0.5,1.35,2.18,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,50591,WP25PM,5536671,VSM11 MILLING INSERT R=0.4 ML,#,115654168,21044,1,1,1,640,16,0.5,1.84,1.83,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,50591,WP40PM,5545063,VSM11 MILLING INSER,#,115657964,63508,3,1,1,700,16,0.5,2.01,2.79,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,50591,WP40PM,5642230,VSM11 MILLING INSERT R=0.4 ML,#,115654167,21044,1,1,1,640,5,0.5,1.81,2.13,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,50591,WP40PM,5642230,VSM11 MILLING INSERT R=0.4 ML,#,115654167,63508,1,1,1,160,8,0.5,0.47,0.28,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,50591,WU35PM,5415317,VSM11 MILLING INSERT R=0.8 MM,#,115657965,63508,3,1,1,640,12,0.5,1.83,2.2,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,50592,KC730,1161895,SCREW ON LF LIGHT FINISHING INSERT,#,115654063,21269,1,1,1,"1,100",15,0.5,3.23,2.49,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,50592,KC730,1161895,SCREW ON LF LIGHT FINISHING INSERT,#,115654063,63877,1,1,1,,,0.5,,,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,50592,KC730,1161979,SCREW ON LF LIGHT FINISHING INSERT,#,115654163,63877,3,1,1,870,20,0.5,1.96,2.77,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,50592,KCP05,3746125,SCREW ON UF ULTRA-FINE FINISHING INSERT,#,115585616,21269,2,1,1,700,30,0.42,2.41,1.69,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,50592,KCP10,3749416,SCREW ON LF LIGHT FINISHING INSERT,#,115654164,63877,3,1,1,460,19,0.42,0.91,1.77,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,50592,KCP25B,5694056,SCREW ON UF ULTRA-FINE FINISHING INSERT,#,115585617,21269,2,1,1,300,15,0.5,0.63,1.28,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,50592,KCU10,4045218,SCREW ON LF LIGHT FINISHING INSERT,#,115654095,63877,3,1,1,"1,140",11,0.5,2.19,3.54,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,50593,KC730,1159602,KENLOC CHIP CONTROL INSERT,#,115637703,63928,3,1,1,,,0.5,,,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,50593,KCP10B,5697969,KENLOC CT PROFILING GEOMETRY,#,115656990,20648,1,1,1,427,4,0.42,0.82,1.55,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,50593,KCP10B,5697969,KENLOC CT PROFILING GEOMETRY,#,115656990,63928,1,1,1,705,7,0.42,1.35,2.78,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,50593,KCP10B,5697969,KENLOC CT PROFILING GEOMETRY,#,115656991,20648,1,1,1,"1,132",9,0.42,2.17,4.22,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,50593,KCP10B,5697969,KENLOC CT PROFILING GEOMETRY,#,115656992,20648,2,1,1,"1,132",6,0.42,2.16,4.05,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,50593,KCP10B,5697969,KENLOC CT PROFILING GEOMETRY,#,115657840,63928,3,1,1,"1,080",10,0.42,2.07,4.75,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,50593,KCP10B,5697969,KENLOC CT PROFILING GEOMETRY,#,115657841,20648,3,1,1,100,2,0.42,0.19,0.37,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,50593,KCP10B,5697969,KENLOC CT PROFILING GEOMETRY,#,115657841,63928,3,1,1,919,9,0.42,1.76,3.9,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,50696,KC5010,2244910,KENLOC MS MEDIUM SHARP INSERT,#,115649738,63508,3,1,1,34,80,0.5,0.24,0.01,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,50696,KC5010,3403424,KENLOC INSERT UP-UNIVERSAL POSITIVE,#,115509416,21044,1,1,1,110,2,0.5,0.26,0.34,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,50696,KC5010,3403424,KENLOC INSERT UP-UNIVERSAL POSITIVE,#,115509416,63508,1,1,1,320,15,0.5,0.77,1.07,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,50696,KCP25,4075308,KENLOC MP MEDIUM POSITIVE INSERT,#,115649648,63508,3,1,1,,,0.5,,,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,50696,KCU10,4050696,KENLOC INSERT UP-UNIVERSAL POSITIVE,#,115589618,63508,3,1,1,308,15,0.5,0.74,1.11,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,50696,WM25CT,4172955,NEGATIVE INSERT GEO MR,#,115654072,21044,1,1,1,680,18,0.5,1.61,2.88,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,50696,WM35CT,4173120,CNMG120408MR   WM35CT,#,115654071,21044,2,1,1,560,12,0.5,1.32,3.09,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,50696,WP15CT,4171069,NEGATIVE INSERT GEO ML,#,115654120,21044,1,1,1,,,X,,,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,50696,WP15CT,4171069,NEGATIVE INSERT GEO ML,#,115654120,21044,3,1,1,,,0.5,,,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,50696,WP35CT,4170044,NEGATIVE INSERT GEO MR,#,115654073,21044,1,1,1,280,5,0.5,0.66,1.02,,,,,,,,
OR01,09.06.2016,PRS3R,3R PRESS OSTERWALDER,50696,WS10PT,5645616,NEGATIVE INSERT FINISHING,#,115654179,63508,2,1,1,360,14,0.5,0.86,2.36,,,,,,,,
